温泉名,ふりがな,都道府県,使用ゲームタイトル,URL,緯度,経度
有馬温泉,ありまおんせん,兵庫県,"ウイニングイレブン2019
ウイニングイレブン2021
FORTNITE",http://alimali.jp/ucup/,34.7987987,135.2467773
いわない温泉,いわないおんせん,北海道,ウイニングイレブン2019,http://alimali.jp/ucup/,42.951408,140.5144358
草津温泉,くさつおんせん,群馬県,"ウイニングイレブン2020
ぷよぷよeスポーツ",http://alimali.jp/ucup/,36.622806,138.596639
城崎温泉,きのさきおんせん,兵庫県,VALORANT,https://hyogo-esportsfesta.com/,35.6266742,134.8015486
榊原温泉,さかきばらおんせん,三重県,,https://e-spaspo.jp/,34.708123,136.370805
皆生温泉,かいけおんせん,鳥取県,"鉄拳7
ストリートファイターⅤ
ウイニングイレブン2019
荒野行動
大乱闘スマッシュブラザーズSP
ぷよぷよ
CLASH LOYALE",https://tottori-esports.com/onsen-esports/,35.4564861,133.3620475
玉名温泉,たまなおんせん,熊本県,"FORTNITE
eFootball
桃太郎電鉄
ぷよぷよeスポーツ
大乱闘スマッシュブラザーズSP
シャドウバース
荒野行動 
eFootballモバイル
プロ野球スピリッツA",https://www.city.tamana.lg.jp/q/aview/424/24592.html,32.9387139,130.5570103
磐梯熱海温泉,ばんだいあたみおんせん,福島県,"ストリートファイターⅤ
GUILTY GEAR Xrd REV 2
餓狼 MARK OF THE WOLVES
ぷよぷよeスポーツ
PUBG MOBILE",https://fukushima-gaming.com/,37.4874472,140.2605466
昼神温泉,ひるがみおんせん,長野県,モンスターストライク,http://info.sva.jp/achiesportsfes2021/,35.45734,137.713626
鈍川温泉,にぶかわおんせん,愛媛県,ぷよぷよeスポーツ,https://puyo-camp.jp/events/8242,33.9819346,132.9355096
別府温泉,べっぷおんせん,大分県,,https://twitter.com/beppu_onsen_lan,33.303337,131.503805
さくらんぼ東根温泉,さくらんぼひがしねおんせん,山形県,グランツーリスモSPORT,http://www.yamagata-esports.com/228/,38.4581811,140.3875087
湯の花温泉,ゆのはなおんせん,京都府,"ぷよぷよeスポーツ
eFootball
ウイニングイレブン2021
SEASON UPDATE
PUBG MOBILE
リーグ・オブ・レジェンド
Virtua Fighter esports",https://e-elements.jp/portal/news/9821/,35.0210378,135.5060152
